Task,Category,Epic,Notes,Priority,Status,Type
P&M — agregar outcome 'deprioritized' + deprioritized_at,Dev,Phase 2 — Analytics,"Gap detectado por Marco en revisión de scope (2 Jul 2026, ver docs/http://scope-planning-measurement.md §21): ninguno de los 3 outcomes existentes (logrado/parcial/continua) cubre el caso de un foco que el coach decide NO llevar a carryover al cerrar el periodo, sin que haya sido logrado ni esté parcial. Se agrega 4to valor 'deprioritized' al enum de outcome + columna deprioritized_at (timestamptz, nullable). Confirmado por Marco (2 Jul 2026): deprioritized NO requiere final_assessment, a diferencia de los otros 3 outcomes — basta con deprioritized_at. Ya reflejado en §3, §9 y §21 del scope doc.",Medium,Backlog,Feature
Reasignar coach de Ian Kleiman a Armando Tlacaelel,Dev,,Update coach_id en tabla athletes: Ian Kleiman (mailto:iankleiman2009@icloud.com) pasa de Test Coach a Armando Tlacaelel López Chávez (mailto:tlacaelelarmando@hotmail.com).,Low,Done,Chore
P&M — Implementar rúbrica/skill: verificación de observaciones por dimensión,Dev,Phase 2 — Analytics,,High,Done,Feature
Presentación de progreso + roadmap 6 meses para el equipo,Team,,,Medium,Done,Chore
"Mejorar http://CLAUDE.md y flujo de skills (apertura/cierre de sesión, backlog)",Dev,,,Medium,Done,Chore
Construir skill #1: feature-build-flow (rebanada de feature),Dev,,,High,Done,Chore
"Sección de ""Mis Planes"" en el portal del atleta",Dev,,,High,Done,Feature
Servicio de notas de voz/texto por atleta (context feed para reportes y planes),Dev,Phase 2 — Analytics,"Idea de Marco (9 Jul 2026): servicio al que todos los coaches suban notas de voz y texto por atleta a lo largo del tiempo. Para atletas nuevos, el initial assessment (hoy el text box libre de PlanesCoach.jsx al crear el primer plan, sujeto a cambiar con el scoping) sería la única entrada inicial. Esa información se agrupa/analiza para alimentar (a) los reportes mensuales — pasan de redacción desde cero a trabajo de review — y (b) el contexto del siguiente plan trimestral. Objetivo: que el coach se enfoque en observar y el sistema arme el resto. Depende de que primero se cierre 'Quitar constraint de asignación coach↔atleta' (task hermano, ampliado 9 Jul) — sin eso no está claro quién puede subir notas de qué atleta. Marco fue explícito: es la pieza más pesada y se hace hasta el final, después de todo lo demás. Necesita su propio doc de scoping (arquitectura de captura de voz, pipeline de análisis/agrupación, qué modelo/prompt, cómo conecta con generate-quarterly-plan) — sigue el patrón agentic ya usado en P&M (docs/http://scope-planning-measurement.md, docs/http://agentic-fit-check-pm.md).",Medium,Backlog,Feature
Decidir qué hacer con atletas que se van de la academia o se gradúan (ej. se van a USA),Team,Phase 1 — Core Features,"Surgió 9 Jul 2026 al decidir que ningún coach tendrá DELETE sobre atletas (docs/http://scope-coach-atleta-libre.md §3.5) — la baja se hace con activo=false, pero eso no distingue 'se fue a media temporada' de 'se graduó y se fue a jugar/estudiar a USA'. Falta decidir: ¿se necesita un estado distinto a activo/inactivo (ej. 'egresado')? ¿se conserva el expediente completo visible en Equipo o se archiva aparte? ¿hay algo que exportar/entregar al atleta o a la familia al salir? Es decisión de producto, no depende de ningún cambio técnico pendiente.",Low,Backlog,Feature
Scopear + diseñar skill #9: LLM/agent feature build flow,Dev,Phase 2 — Analytics,"Skill compañero de #1 (feature-build-flow) — el paso 7 de #1 hoy solo dice ""para y scopea con Marco"", sin flujo propio. Necesita doc de scoping antes de diseñarse con skill-creator. 5 preguntas a resolver (determinan si evals/ se construye): dónde viven los evals, formato del dataset de casos, quién/qué es el grader (ya hay precedente real: modo validate de generate-quarterly-plan pm-v4.0), cuándo corre la suite, cómo se versiona el prompt. Detalle completo en docs/http://skills-backlog.md #9.",High,Backlog,Chore
Revisar http://scope-planning-measurement.md incorporando lo construido en Mi Plan,Dev,,,High,Done,Chore
Repensar liderazgo (score -2..+2 en report_character) y physical como dimensión de P&M,Team,,,Medium,Backlog,Feature
P&M — prompt de anclas de tecnica: no debe asentarse en 'consistente en entrenamiento',Dev,Phase 2 — Analytics,"docs/http://scope-close-quarterly-plan.md §16.8. La plantilla generica de anclas (generate-quarterly-plan/index.ts linea ~193) usa 'consistente en entrenamiento' como nivel 0 -- para tecnica, la transferencia deberia apuntar siempre a partido, nunca quedarse en drill/entrenamiento como referencia. Es un ajuste de prompt (Tier B, no determinista) -- decidir si tecnica necesita su propia plantilla de anclas separada de tactica/caracter. Requiere revision con Marco viendo ejemplos generados antes de tocar el prompt en produccion.",Medium,Backlog,Bug
P&M — ¿mantenimiento deberia tener outcome al cerrar el plan?,Dev,Phase 2 — Analytics,"Decidido 15 Jul 2026 (docs/http://scope-close-quarterly-plan.md §16.6): mantenimiento se queda como esta, deliberadamente ligero — sin outcome, sin friccion de cierre. Si algo relevante pasa ahi, se sube a foco en el plan del siguiente trimestre. Sin cambios de codigo, es el comportamiento actual confirmado a proposito.",Low,Done,Chore
P&M — botones 'mejorar' por objetivo en revision (reemplaza box unico de feedback),Dev,Phase 2 — Analytics,"docs/http://scope-close-quarterly-plan.md §16.7. El box unico '¿Algo no cuadra?' del paso 4 regenera TODO el plan con un solo comentario -- volvio vagos objetivos que no se querian tocar. Idea: boton 'Mejorar' por objetivo/observacion (patron tipo comentarios de IA en Google Docs), quitando la caja fija del fondo y agregando una caja de instrucciones corta debajo de la barra de progreso. Probablemente cambia el contrato de regenerate en la edge function (feedback por-objetivo en vez de string global). Necesita su propio scoping antes de construir.",Medium,Backlog,Feature
P&M — ciclo de vida de fechas del plan (closed_at / inicio de borrador / fecha de publicacion),Dev,Phase 2 — Analytics,"docs/http://scope-close-quarterly-plan.md §16.4. Hoy period_start del plan siguiente se elige a mano en el paso 1 = primer dia del mes siguiente al cierre. Propuesta de Marco: separar 3 fechas (closed_at, inicio del borrador, fecha de publicacion) y que el periodo real de 3 meses se cuente desde que el coach PUBLICA el plan, no desde que crea el draft -- asi los planes duran 3 meses de uso real. Necesita su propia sesion de scoping antes de tocar codigo (toca startPlanCreation, periodEndFor, paso 1 del wizard, posible columna nueva en schema).",Medium,Backlog,Feature
P&M v2 — separar outcome en estado (logrado/parcial/fallido) + carryover (continúa/depriorizado),Dev,Phase 2 — Analytics,"CONSTRUIDO 15 Jul 2026, todo comiteado (29f0f07 + aad9365). Migracion outcome/carryover + UI de 2 controles + fix de carryover (29f0f07). Fix de 4 bugs de la revision en vivo con Marco Damian: placeholder de 'Logrado' corregido, bloque de scores/anclas con fallback explicito cuando no hay datos, formatObjetivoMotivo robusto a separador (aad9365). Lint+112 tests OK en ambos commits. Detalle en docs/http://scope-close-quarterly-plan.md §16.3/§16.3.1. PENDIENTE: Marco hace git push, y probar en vivo con Test Athlete (que si tiene reportes) para confirmar highlight/badges con datos reales antes de Done.",High,In Review,Feature
